                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3709,                  3.275,                 1.0926,                 1.3266,                 4.1839,                 1.0595,                0.45435,                0.61957,                0.51988,                0.37267,                 1.1117,                 1.8406,                 1.0457,                 1.0799,                 3.1705,                 1.0311,               0.070125,              0.0033194,              0.0033194
                      2,                 1.2011,                 1.4431,                 1.0489,                 1.2721,                 2.2924,                 1.0542,                0.49725,                0.60068,                0.55371,                0.37238,                 1.3268,                 1.7031,                 1.1642,                 1.2764,                 2.6322,                 1.1611,               0.040059,              0.0065869,              0.0065869
                      3,                 1.2504,                 1.3061,                 1.0591,                 1.3449,                 1.9248,                 1.0826,                0.59464,                0.67038,                 0.6581,                0.45996,                 1.1423,                 1.4151,                  1.093,                  1.124,                 2.7755,                 1.1234,              0.0099273,              0.0097884,              0.0097884
                      4,                 1.1911,                 1.2145,                  1.054,                 1.3164,                 1.7205,                  1.086,                 0.6445,                0.84924,                 0.8848,                 0.6497,                0.98655,                 1.0537,                 1.0392,                0.99028,                 1.7818,                 1.0413,               0.009703,               0.009703,               0.009703
                      5,                 1.1724,                 1.1016,                 1.0484,                 1.3082,                 1.5116,                  1.094,                0.74416,                0.81157,                0.87998,                0.64349,                0.94187,                 0.8686,                 1.0201,                 1.0085,                 1.2706,                 1.0453,               0.009703,               0.009703,               0.009703
                      6,                 1.1198,                  1.004,                 1.0348,                 1.2573,                 1.3492,                 1.0713,                0.75613,                0.79918,                0.86049,                0.61342,                0.98003,                0.96134,                 1.0346,                 1.0616,                  1.279,                 1.0851,               0.009604,               0.009604,               0.009604
                      7,                  1.099,                0.92018,                 1.0233,                 1.2454,                 1.1788,                 1.0636,                0.83456,                0.88751,                0.92055,                0.68471,                0.92462,                0.75917,                 1.0014,                0.96563,                0.88054,                 1.0171,               0.009505,               0.009505,               0.009505
                      8,                 1.0496,                0.86642,                   1.01,                 1.1859,                 1.0648,                 1.0499,                0.81856,                0.86596,                0.93321,                0.71105,                0.92813,                0.70562,                 1.0025,                0.94342,                0.84288,                 1.0169,               0.009406,               0.009406,               0.009406
                      9,                 1.0688,                0.82578,                  1.018,                 1.2198,                0.98445,                 1.0594,                0.88168,                0.90081,                0.96083,                0.72695,                0.95331,                0.68976,                  1.021,                0.92366,                 0.6691,                  1.015,               0.009307,               0.009307,               0.009307
                     10,                 1.0051,                0.77088,                0.99613,                 1.1695,                0.93611,                 1.0435,                0.89367,                0.91124,                0.96551,                0.72952,                0.91148,                0.66502,                0.99271,                 0.9426,                 0.6001,                 1.0089,               0.009208,               0.009208,               0.009208
                     11,                 1.0018,                0.72699,                0.98691,                 1.1438,                0.82822,                 1.0315,                0.91907,                0.91989,                0.97177,                0.73503,                0.87646,                0.60827,                0.97792,                0.94247,                0.59853,                 1.0102,               0.009109,               0.009109,               0.009109
                     12,                0.98203,                0.69197,                0.98894,                 1.1185,                 0.7723,                 1.0318,                 0.9523,                0.91228,                0.97985,                0.75381,                0.86018,                0.59375,                0.96749,                0.91027,                0.61916,                 1.0043,                0.00901,                0.00901,                0.00901
                     13,                0.99587,                0.67798,                0.98365,                  1.134,                0.75043,                  1.028,                0.91295,                0.92724,                0.98019,                0.77084,                0.83268,                0.53499,                0.95826,                0.84041,                0.50149,                0.96748,               0.008911,               0.008911,               0.008911
                     14,                0.96452,                0.65722,                0.97527,                 1.1172,                0.71621,                 1.0144,                0.91093,                0.90729,                0.96865,                0.75835,                0.82041,                0.53851,                0.95259,                0.86252,                0.47863,                0.96767,               0.008812,               0.008812,               0.008812
                     15,                0.96265,                0.63304,                0.97182,                 1.1159,                0.68345,                 1.0115,                0.94596,                0.91491,                0.97986,                0.78249,                0.80405,                0.50271,                0.94074,                0.82271,                0.47104,                0.95734,               0.008713,               0.008713,               0.008713
                     16,                0.95031,                0.60242,                0.97412,                 1.0902,                0.64632,                 1.0099,                  0.934,                0.95642,                0.98526,                0.78094,                 0.7961,                0.49453,                0.94343,                0.82288,                0.43063,                0.96209,               0.008614,               0.008614,               0.008614
                     17,                0.95951,                 0.6004,                0.97476,                 1.0899,                0.64172,                 1.0131,                0.96347,                0.95713,                0.98837,                0.75353,                0.84723,                0.49643,                0.95535,                0.91921,                0.40185,                 0.9879,               0.008515,               0.008515,               0.008515
                     18,                0.93319,                0.58731,                0.96901,                 1.0672,                0.61284,                 1.0018,                 0.9749,                0.95113,                0.98949,                0.77093,                0.82644,                0.47812,                0.95044,                0.87388,                0.35765,                 0.9822,               0.008416,               0.008416,               0.008416
                     19,                0.91982,                0.56204,                0.95859,                  1.057,                0.58347,                0.99379,                0.90995,                0.98625,                0.98964,                0.76705,                0.83511,                 0.4643,                0.94509,                0.85979,                0.40131,                0.97057,               0.008317,               0.008317,               0.008317
                     20,                0.92411,                0.55432,                0.95931,                 1.0624,                0.57003,                0.99788,                0.96335,                0.97124,                0.99243,                0.78174,                0.81251,                0.46023,                0.94758,                0.84507,                0.35659,                0.96897,               0.008218,               0.008218,               0.008218
                     21,                0.93139,                0.55707,                 0.9643,                  1.071,                0.54508,                 1.0009,                0.94881,                0.97231,                0.98951,                0.78207,                0.79906,                0.44702,                0.94142,                0.84243,                0.33645,                0.97187,               0.008119,               0.008119,               0.008119
                     22,                0.90451,                0.53386,                0.95759,                 1.0354,                0.52666,                0.99367,                0.93858,                0.97696,                0.98942,                0.77741,                0.80543,                0.43661,                0.94019,                 0.8574,                0.34754,                0.96219,                0.00802,                0.00802,                0.00802
                     23,                0.89957,                 0.5215,                0.94436,                 1.0263,                0.53949,                0.97913,                0.95857,                0.91512,                0.98113,                  0.763,                0.83209,                0.45609,                0.95593,                0.87078,                0.39027,                0.97087,               0.007921,               0.007921,               0.007921
                     24,                0.88258,                0.52117,                0.94542,                 1.0043,                0.53957,                 0.9781,                0.96147,                0.96268,                0.98954,                 0.7898,                0.79837,                0.41319,                 0.9306,                0.83447,                0.34076,                0.95179,               0.007822,               0.007822,               0.007822
                     25,                0.89753,                0.52585,                0.95125,                 1.0267,                0.51916,                0.98187,                0.94835,                0.97359,                0.98463,                0.77955,                0.80578,                0.42259,                0.94487,                0.83364,                0.30756,                0.96498,               0.007723,               0.007723,               0.007723
                     26,                0.88512,                0.51369,                  0.949,                   1.02,                0.53034,                0.98625,                0.94822,                0.98157,                0.98927,                0.79336,                0.77226,                0.39086,                0.92267,                0.82661,                0.31133,                0.94814,               0.007624,               0.007624,               0.007624
                     27,                0.88524,                0.51197,                0.94508,                 1.0055,                0.52308,                0.97494,                0.98419,                0.96863,                0.99301,                0.79427,                0.77632,                 0.4128,                0.92719,                0.81013,                0.28994,                0.94871,               0.007525,               0.007525,               0.007525
                     28,                0.88192,                0.50939,                0.94672,                 1.0192,                0.50437,                0.98233,                0.94691,                0.98432,                0.98779,                0.78217,                0.78622,                0.40136,                0.93083,                0.83676,                0.30296,                0.96019,               0.007426,               0.007426,               0.007426
