epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.4025,1.43932,3.4955,1.09652,0.66184,0.66662,0.73659,0.49015,1.22887,2.04415,1.09641,0.070125,0.00331944,0.00331944
2,89.7277,1.3331,1.56287,1.07605,0.78523,0.69834,0.76803,0.50119,1.41245,2.04224,1.19338,0.0400591,0.00658692,0.00658692
3,134.376,1.327,1.44924,1.08266,0.8445,0.79197,0.91166,0.62437,1.16235,1.38337,1.10429,0.00992728,0.00978839,0.00978839
4,178.542,1.30277,1.36954,1.09407,0.76472,0.79979,0.86023,0.60884,1.09664,1.48515,1.08146,0.009703,0.009703,0.009703
5,221.981,1.24153,1.20871,1.08804,0.94501,0.96904,0.98734,0.71642,1.01442,0.92209,1.0524,0.009604,0.009604,0.009604
6,265.07,1.16429,1.03475,1.05028,0.98269,0.98616,0.99046,0.7201,0.99674,0.85035,1.02551,0.009505,0.009505,0.009505
7,307.312,1.1134,0.93884,1.0347,0.94791,0.9888,0.99022,0.7484,0.91113,0.81338,0.98926,0.009406,0.009406,0.009406
8,349.741,1.08922,0.88452,1.0207,0.9839,0.99569,0.99429,0.72858,0.97572,0.73167,1.0201,0.009307,0.009307,0.009307
9,393.559,1.07329,0.84375,1.01958,0.93673,0.96092,0.98052,0.72784,0.96283,0.75543,1.00734,0.009208,0.009208,0.009208
10,437.934,1.0585,0.79159,1.01405,0.8868,0.95132,0.97264,0.72366,0.97437,0.8011,1.00273,0.009109,0.009109,0.009109
11,482.115,1.02907,0.74297,1.00066,0.96955,0.99229,0.99228,0.74573,0.94923,0.62719,1.0083,0.00901,0.00901,0.00901
12,526.182,1.01787,0.72471,0.99241,0.99178,0.99818,0.995,0.78847,0.82985,0.53525,0.95235,0.008911,0.008911,0.008911
13,569.894,1.00122,0.69413,0.97891,0.98725,0.99593,0.99491,0.76536,0.90429,0.54631,0.978,0.008812,0.008812,0.008812
14,614.025,0.99621,0.68321,0.99148,0.98579,0.98268,0.9904,0.77986,0.8535,0.53549,0.95808,0.008713,0.008713,0.008713
15,658.559,0.9816,0.6469,0.97893,0.99628,1,0.995,0.7891,0.79994,0.48965,0.94226,0.008614,0.008614,0.008614
16,701.359,0.97556,0.64304,0.9712,0.9861,0.98966,0.99474,0.78911,0.83045,0.50547,0.94915,0.008515,0.008515,0.008515
17,746.242,0.97614,0.62367,0.9713,0.98999,1,0.995,0.78447,0.84845,0.47194,0.967,0.008416,0.008416,0.008416
18,790.582,0.95585,0.60075,0.96601,0.98871,0.99303,0.99226,0.78963,0.82798,0.46598,0.95149,0.008317,0.008317,0.008317
