               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10704,            0.012591,            0.054194,            0.002936,             0.85097,            0.043336,            0.012009,            0.064783,            0.011265,            0.047247,            0.070125,           0.0033194,           0.0033194
                   1,            0.060997,            0.014301,             0.04558,             0.37543,              0.5768,              0.4334,             0.15785,            0.043399,           0.0088081,            0.039731,            0.040059,           0.0065869,           0.0065869
                   2,              0.0546,            0.011134,            0.036907,             0.63516,             0.70327,             0.75522,             0.28917,            0.048172,           0.0064659,            0.028415,           0.0099273,           0.0097884,           0.0097884
                   3,            0.051574,           0.0089407,             0.02711,             0.72272,             0.80081,             0.80924,             0.43256,            0.042274,           0.0054207,            0.019378,            0.009703,            0.009703,            0.009703
                   4,            0.046994,           0.0080321,            0.017633,             0.90237,             0.84008,             0.93548,             0.51359,            0.036632,           0.0052446,           0.0099404,            0.009703,            0.009703,            0.009703
                   5,            0.043525,           0.0073694,            0.011646,             0.95411,             0.98108,             0.97821,             0.57688,            0.032314,           0.0045263,           0.0050072,            0.009604,            0.009604,            0.009604
                   6,            0.041622,           0.0070007,           0.0085713,             0.98165,             0.99814,             0.99473,             0.60091,            0.030174,           0.0043586,           0.0041719,            0.009505,            0.009505,            0.009505
                   7,            0.038674,           0.0066546,             0.00746,             0.81359,             0.83823,             0.88962,             0.56248,            0.034079,           0.0047705,           0.0090498,            0.009406,            0.009406,            0.009406
                   8,            0.036896,           0.0063618,           0.0071197,             0.91475,             0.90455,             0.96606,             0.64044,            0.027926,           0.0042084,            0.010335,            0.009307,            0.009307,            0.009307
                   9,            0.035711,           0.0062374,           0.0065667,              0.9443,             0.97829,             0.98317,             0.55589,            0.031604,            0.003841,           0.0032694,            0.009208,            0.009208,            0.009208
                  10,            0.035481,           0.0059998,           0.0062627,             0.98502,             0.99153,             0.99258,              0.6179,            0.027105,           0.0035949,           0.0029702,            0.009109,            0.009109,            0.009109
                  11,             0.03449,           0.0060387,           0.0062733,             0.98788,             0.96018,             0.98907,             0.68777,            0.027871,           0.0035982,           0.0023053,             0.00901,             0.00901,             0.00901
                  12,            0.033353,           0.0058236,           0.0059037,             0.98323,             0.99131,             0.99374,             0.63348,            0.028087,           0.0036105,           0.0023064,            0.008911,            0.008911,            0.008911
