                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4418,                 3.2555,                 1.1071,                0.65975,                0.74009,                0.77487,                 0.5458,                 1.0866,                 1.6718,                 1.0173,               0.070125,              0.0033194,              0.0033194
                      2,                 1.2158,                 1.3944,                 1.0552,                 0.9316,                0.88077,                0.95225,                0.65394,                 1.1535,                 1.2722,                 1.0874,               0.040059,              0.0065869,              0.0065869
                      3,                 1.2035,                 1.1988,                 1.0457,                0.89808,                0.95211,                0.98551,                0.69092,                 1.0356,                0.95851,                 1.0476,              0.0099273,              0.0097884,              0.0097884
                      4,                 1.1673,                 1.1104,                 1.0453,                0.90206,                0.89413,                0.94169,                0.68654,                 1.0392,                 0.9754,                 1.0644,               0.009703,               0.009703,               0.009703
                      5,                 1.1494,                0.98434,                 1.0305,                 0.9685,                0.96402,                0.98899,                0.73082,                0.97014,                0.73064,                 1.0387,               0.009604,               0.009604,               0.009604
                      6,                 1.0958,                0.90436,                 1.0219,                0.98757,                0.99721,                0.99477,                0.76635,                0.89125,                0.61407,                0.98588,               0.009505,               0.009505,               0.009505
                      7,                 1.0752,                0.84662,                 1.0109,                0.97335,                0.96388,                0.99473,                   0.75,                0.92548,                0.68274,                 1.0107,               0.009406,               0.009406,               0.009406
                      8,                 1.0367,                0.78062,                 1.0003,                0.98375,                0.98504,                 0.9907,                0.76232,                0.91651,                0.56577,                0.99823,               0.009307,               0.009307,               0.009307
                      9,                 1.0385,                 0.7473,                 1.0016,                 0.9941,                0.99642,                0.99377,                 0.7601,                0.91021,                 0.5396,                0.98935,               0.009208,               0.009208,               0.009208
                     10,                0.98798,                0.70437,                0.98109,                0.99324,                      1,                  0.995,                0.79053,                0.84595,                0.48989,                0.97435,               0.009109,               0.009109,               0.009109
                     11,                0.99162,                0.66959,                0.97684,                0.98611,                0.99128,                 0.9899,                0.77108,                0.89063,                0.49582,                0.97994,                0.00901,                0.00901,                0.00901
                     12,                0.96949,                 0.6494,                0.97765,                0.99683,                 0.9997,                  0.995,                0.78009,                0.86406,                0.48968,                0.97832,               0.008911,               0.008911,               0.008911
                     13,                0.98334,                0.63485,                0.97522,                  0.986,                0.98667,                  0.995,                0.78579,                0.84894,                0.47127,                0.96684,               0.008812,               0.008812,               0.008812
                     14,                 0.9588,                0.62052,                0.96841,                0.98969,                0.99504,                0.98979,                0.77957,                0.86414,                0.47311,                0.96567,               0.008713,               0.008713,               0.008713
                     15,                0.95727,                0.59426,                0.96549,                 0.9881,                0.99587,                 0.9948,                0.78378,                0.83022,                0.45861,                0.95113,               0.008614,               0.008614,               0.008614
                     16,                0.94447,                0.58129,                0.96552,                0.99193,                0.99867,                 0.9942,                0.78412,                0.83788,                 0.4568,                0.95515,               0.008515,               0.008515,               0.008515
                     17,                0.95201,                 0.5833,                0.96685,                0.99087,                      1,                  0.995,                0.80207,                0.83569,                0.42566,                0.95128,               0.008416,               0.008416,               0.008416
                     18,                0.92727,                0.56963,                0.96322,                0.99399,                      1,                  0.995,                0.79465,                0.81672,                0.41561,                0.94312,               0.008317,               0.008317,               0.008317
                     19,                0.92377,                0.55487,                 0.9548,                 0.9942,                      1,                  0.995,                0.81004,                0.80608,                0.42755,                0.94191,               0.008218,               0.008218,               0.008218
                     20,                0.91872,                 0.5387,                0.95058,                0.99224,                0.99618,                0.99493,                0.80679,                0.79573,                0.41393,                0.93716,               0.008119,               0.008119,               0.008119
                     21,                0.92446,                0.53568,                0.95732,                0.99731,                0.99524,                 0.9941,                0.79672,                 0.8173,                0.42952,                0.94886,                0.00802,                0.00802,                0.00802
                     22,                0.90762,                0.52025,                0.95546,                0.99271,                      1,                  0.995,                0.79438,                0.79794,                0.38593,                0.93451,               0.007921,               0.007921,               0.007921
                     23,                0.89798,                0.51653,                0.93885,                0.98899,                0.99645,                 0.9911,                0.81356,                0.78838,                 0.3902,                0.94091,               0.007822,               0.007822,               0.007822
                     24,                0.89905,                0.52304,                0.94579,                0.99604,                      1,                  0.995,                0.79177,                0.82185,                0.39989,                0.93771,               0.007723,               0.007723,               0.007723
                     25,                0.90468,                0.51665,                0.95086,                0.99117,                0.99702,                0.99368,                 0.8081,                0.79538,                0.39909,                0.93157,               0.007624,               0.007624,               0.007624
                     26,                0.88533,                0.51055,                0.94134,                0.99462,                      1,                  0.995,                0.81032,                0.77647,                0.38118,                0.92722,               0.007525,               0.007525,               0.007525
                     27,                0.88633,                0.50108,                 0.9443,                0.99578,                      1,                  0.995,                0.81267,                0.77725,                0.37986,                0.92252,               0.007426,               0.007426,               0.007426
                     28,                0.87785,                0.49552,                0.94103,                0.98586,                0.98992,                0.99243,                0.81364,                0.77637,                0.37169,                0.92281,               0.007327,               0.007327,               0.007327
                     29,                0.87777,                0.48382,                 0.9419,                0.99162,                0.99671,                0.99295,                0.81117,                0.79235,                0.37697,                0.93265,               0.007228,               0.007228,               0.007228
                     30,                0.87661,                0.48651,                0.94001,                0.99168,                0.99645,                0.99276,                0.81278,                0.75022,                0.36181,                0.91789,               0.007129,               0.007129,               0.007129
                     31,                0.87101,                0.48407,                0.93942,                0.99413,                0.99645,                0.99256,                0.81303,                0.76298,                0.36576,                0.91956,                0.00703,                0.00703,                0.00703
                     32,                 0.8822,                0.48576,                0.94479,                 0.9951,                      1,                  0.995,                0.80925,                 0.7873,                0.36457,                0.92928,               0.006931,               0.006931,               0.006931
                     33,                0.85554,                0.46982,                0.93532,                0.99627,                      1,                  0.995,                0.81564,                0.76748,                0.35669,                0.92144,               0.006832,               0.006832,               0.006832
                     34,                0.85678,                0.46854,                0.93775,                0.99155,                0.99749,                0.99406,                 0.8178,                0.76035,                0.37072,                0.91649,               0.006733,               0.006733,               0.006733
                     35,                0.85636,                0.46511,                0.92983,                0.99549,                      1,                  0.995,                0.82101,                0.76446,                0.34142,                0.92222,               0.006634,               0.006634,               0.006634
                     36,                0.86959,                 0.4721,                0.93648,                 0.9931,                0.99645,                0.98989,                0.81233,                0.76628,                  0.348,                0.92243,               0.006535,               0.006535,               0.006535
                     37,                0.85645,                0.46315,                0.93379,                0.99221,                0.99749,                0.99333,                0.81098,                0.79857,                0.36534,                0.92403,               0.006436,               0.006436,               0.006436
                     38,                0.85849,                0.46014,                0.93354,                0.99545,                      1,                  0.995,                0.82484,                0.76472,                0.35172,                0.91566,               0.006337,               0.006337,               0.006337
                     39,                0.83594,                0.45229,                0.92831,                 0.9967,                      1,                  0.995,                0.82136,                  0.765,                0.34422,                0.91831,               0.006238,               0.006238,               0.006238
                     40,                 0.8331,                0.44253,                0.93086,                0.99524,                      1,                  0.995,                0.81538,                0.79227,                 0.3657,                0.92439,               0.006139,               0.006139,               0.006139
                     41,                0.83855,                0.44477,                0.92714,                0.99083,                0.99645,                0.99227,                0.82342,                0.75366,                0.33867,                0.91547,                0.00604,                0.00604,                0.00604
                     42,                0.83444,                0.44753,                0.92976,                0.99145,                  0.997,                0.99295,                0.82371,                0.74331,                0.33284,                0.91451,               0.005941,               0.005941,               0.005941
                     43,                  0.837,                0.43808,                0.92653,                0.99566,                      1,                  0.995,                0.82024,                0.75982,                0.33867,                0.91458,               0.005842,               0.005842,               0.005842
                     44,                0.82085,                0.43845,                0.92329,                0.99666,                      1,                  0.995,                0.81974,                 0.7667,                0.33952,                0.91473,               0.005743,               0.005743,               0.005743
                     45,                0.82283,                0.43188,                 0.9197,                 0.9954,                0.99974,                  0.995,                0.82348,                0.75566,                0.34532,                0.91475,               0.005644,               0.005644,               0.005644
