               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              7.5076,              8.6657,              5.0513,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.070125,           0.0033194,           0.0033194
                   1,              6.2903,              6.5975,              4.0469,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.040059,           0.0065869,           0.0065869
                   2,               5.039,              5.6557,              3.3282,             0.35383,             0.14811,             0.12478,            0.048988,                   0,                   0,                   0,           0.0099273,           0.0097884,           0.0097884
                   3,              3.6392,              3.7676,              2.6576,             0.52755,             0.54364,             0.51614,             0.21975,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   4,              2.7896,              2.6479,               2.129,             0.61386,             0.69853,              0.7677,             0.40927,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   5,              2.2319,               2.094,              1.7681,             0.74119,             0.86159,             0.89843,             0.56917,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                   6,              2.0039,              1.7568,              1.6063,             0.81344,             0.88862,             0.92092,             0.62171,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                   7,               1.799,              1.5144,              1.4894,             0.91272,              0.9497,             0.96929,             0.68797,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   8,              1.6892,              1.3827,              1.4538,              0.9578,             0.94283,              0.9771,             0.70861,                   0,                   0,                   0,            0.009307,            0.009307,            0.009307
                   9,              1.6065,              1.2846,              1.3937,              0.9227,             0.97157,               0.987,             0.71907,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  10,              1.5564,              1.1947,              1.3819,             0.92406,             0.96943,             0.98319,             0.71879,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  11,               1.499,              1.1178,              1.3362,             0.91327,             0.92089,              0.9685,             0.64535,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  12,              1.4848,              1.0928,              1.3415,             0.97223,             0.99109,             0.99366,             0.75193,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
                  13,               1.398,              1.0023,              1.3095,             0.98164,             0.98962,             0.99458,             0.75993,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  14,              1.3819,             0.96355,              1.3022,             0.96167,             0.99319,             0.99311,             0.74848,                   0,                   0,                   0,            0.008713,            0.008713,            0.008713
                  15,              1.3603,             0.94412,              1.2898,             0.98918,             0.99656,               0.995,               0.756,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  16,              1.3296,             0.90981,              1.2755,             0.98505,             0.98812,             0.99473,              0.7503,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                  17,               1.334,              0.9015,               1.285,             0.98485,                   1,             0.99356,             0.73787,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  18,               1.316,             0.87698,              1.2635,             0.99023,             0.99447,             0.99467,             0.77058,                   0,                   0,                   0,            0.008317,            0.008317,            0.008317
                  19,              1.2822,             0.84508,               1.256,             0.99058,             0.99983,               0.995,             0.78187,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  20,              1.2767,             0.84828,              1.2498,             0.99359,              0.9962,               0.995,             0.76121,                   0,                   0,                   0,            0.008119,            0.008119,            0.008119
                  21,              1.2546,             0.82185,              1.2396,             0.98949,                   1,               0.995,             0.76912,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  22,              1.2624,             0.80344,              1.2428,             0.99109,                   1,               0.995,             0.77758,                   0,                   0,                   0,            0.007921,            0.007921,            0.007921
                  23,              1.2448,             0.79376,              1.2363,             0.99373,             0.99048,               0.995,             0.78473,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                  24,              1.2466,             0.78734,              1.2323,             0.98658,             0.99608,               0.995,             0.78998,                   0,                   0,                   0,            0.007723,            0.007723,            0.007723
                  25,              1.2104,             0.76022,              1.2232,             0.99362,             0.99823,               0.995,             0.78157,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
                  26,              1.2049,              0.7505,              1.2242,             0.98946,             0.99537,             0.99474,             0.78705,                   0,                   0,                   0,            0.007525,            0.007525,            0.007525
                  27,              1.2107,             0.75051,               1.218,             0.99201,             0.99577,               0.995,              0.7748,                   0,                   0,                   0,            0.007426,            0.007426,            0.007426
                  28,              1.1921,             0.73959,              1.2197,             0.98158,             0.99931,             0.99476,             0.79599,                   0,                   0,                   0,            0.007327,            0.007327,            0.007327
                  29,              1.1902,              0.7239,              1.2143,             0.99251,                   1,               0.995,             0.79898,                   0,                   0,                   0,            0.007228,            0.007228,            0.007228
                  30,              1.1717,             0.71962,              1.2132,             0.99584,              0.9991,               0.995,             0.80359,                   0,                   0,                   0,            0.007129,            0.007129,            0.007129
                  31,              1.1473,             0.70176,              1.1956,             0.99168,                   1,               0.995,             0.80108,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                  32,               1.151,              0.6916,              1.2008,             0.99814,             0.99641,               0.995,             0.80781,                   0,                   0,                   0,            0.006931,            0.006931,            0.006931
                  33,              1.1545,              0.6859,              1.1951,             0.99562,                   1,               0.995,             0.80682,                   0,                   0,                   0,            0.006832,            0.006832,            0.006832
                  34,              1.1368,             0.69021,              1.1975,             0.99259,                   1,               0.995,             0.80214,                   0,                   0,                   0,            0.006733,            0.006733,            0.006733
                  35,              1.1734,             0.69306,              1.2118,             0.99181,                   1,               0.995,             0.80177,                   0,                   0,                   0,            0.006634,            0.006634,            0.006634
                  36,              1.1264,             0.67124,              1.1865,             0.99455,             0.99649,             0.99434,             0.80674,                   0,                   0,                   0,            0.006535,            0.006535,            0.006535
                  37,              1.1304,             0.66953,              1.1936,             0.99061,                   1,               0.995,             0.79204,                   0,                   0,                   0,            0.006436,            0.006436,            0.006436
                  38,              1.1071,             0.64855,              1.1806,             0.99149,             0.99837,             0.99465,             0.80473,                   0,                   0,                   0,            0.006337,            0.006337,            0.006337
                  39,              1.1153,             0.65248,              1.1904,             0.99367,                   1,               0.995,             0.79251,                   0,                   0,                   0,            0.006238,            0.006238,            0.006238
                  40,              1.1027,             0.64444,              1.1883,             0.99571,             0.99911,               0.995,             0.79531,                   0,                   0,                   0,            0.006139,            0.006139,            0.006139
                  41,              1.1213,             0.65187,              1.1877,             0.99563,             0.99832,               0.995,             0.80355,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  42,              1.0883,              0.6307,              1.1763,             0.99289,                   1,               0.995,             0.81191,                   0,                   0,                   0,            0.005941,            0.005941,            0.005941
                  43,              1.0888,             0.61941,              1.1695,             0.99693,             0.99983,               0.995,             0.81267,                   0,                   0,                   0,            0.005842,            0.005842,            0.005842
                  44,               1.088,             0.61509,              1.1847,             0.99556,                   1,               0.995,              0.8182,                   0,                   0,                   0,            0.005743,            0.005743,            0.005743
                  45,              1.0824,             0.62075,              1.1803,             0.99479,                   1,               0.995,              0.8155,                   0,                   0,                   0,            0.005644,            0.005644,            0.005644
                  46,               1.093,             0.62569,              1.1765,             0.99644,                   1,               0.995,              0.8096,                   0,                   0,                   0,            0.005545,            0.005545,            0.005545
                  47,               1.075,             0.61102,              1.1718,             0.99256,             0.99655,               0.995,             0.80548,                   0,                   0,                   0,            0.005446,            0.005446,            0.005446
                  48,              1.0614,             0.59942,              1.1665,             0.99544,                   1,               0.995,             0.80635,                   0,                   0,                   0,            0.005347,            0.005347,            0.005347
                  49,               1.061,             0.60006,               1.169,             0.99577,                   1,               0.995,             0.81882,                   0,                   0,                   0,            0.005248,            0.005248,            0.005248
                  50,              1.0623,             0.59216,              1.1721,             0.99355,                   1,               0.995,             0.81624,                   0,                   0,                   0,            0.005149,            0.005149,            0.005149
                  51,              1.0766,             0.60675,              1.1745,             0.99246,             0.99955,               0.995,             0.80332,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                  52,               1.053,             0.58468,              1.1768,             0.99538,                   1,               0.995,             0.82507,                   0,                   0,                   0,            0.004951,            0.004951,            0.004951
                  53,              1.0484,             0.58891,              1.1634,             0.99441,             0.99837,               0.995,             0.81543,                   0,                   0,                   0,            0.004852,            0.004852,            0.004852
                  54,              1.0357,             0.57603,              1.1605,             0.99532,             0.99828,               0.995,             0.82283,                   0,                   0,                   0,            0.004753,            0.004753,            0.004753
                  55,               1.053,              0.5843,              1.1671,             0.99443,             0.99768,               0.995,               0.817,                   0,                   0,                   0,            0.004654,            0.004654,            0.004654
                  56,              1.0537,             0.58027,              1.1661,             0.99621,                   1,               0.995,             0.82178,                   0,                   0,                   0,            0.004555,            0.004555,            0.004555
                  57,              1.0338,              0.5661,              1.1573,             0.99234,                   1,               0.995,             0.82436,                   0,                   0,                   0,            0.004456,            0.004456,            0.004456
                  58,              1.0382,             0.56777,              1.1696,             0.99025,                   1,               0.995,             0.81303,                   0,                   0,                   0,            0.004357,            0.004357,            0.004357
                  59,              1.0296,             0.56046,              1.1565,             0.99001,                   1,               0.995,              0.8115,                   0,                   0,                   0,            0.004258,            0.004258,            0.004258
                  60,               1.035,             0.55686,              1.1501,             0.99556,                   1,               0.995,             0.81949,                   0,                   0,                   0,            0.004159,            0.004159,            0.004159
                  61,              1.0063,             0.55273,              1.1586,             0.99309,                   1,               0.995,             0.82028,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                  62,               1.022,             0.55684,              1.1502,             0.99535,                   1,               0.995,             0.82361,                   0,                   0,                   0,            0.003961,            0.003961,            0.003961
                  63,              1.0272,             0.55114,              1.1582,             0.99085,                   1,               0.995,             0.82305,                   0,                   0,                   0,            0.003862,            0.003862,            0.003862
                  64,               1.019,             0.54932,              1.1553,             0.99389,                   1,               0.995,             0.82171,                   0,                   0,                   0,            0.003763,            0.003763,            0.003763
                  65,              1.0221,             0.54818,              1.1528,             0.99615,                   1,               0.995,             0.83304,                   0,                   0,                   0,            0.003664,            0.003664,            0.003664
                  66,              1.0143,                0.54,              1.1607,             0.99414,                   1,               0.995,             0.82507,                   0,                   0,                   0,            0.003565,            0.003565,            0.003565
                  67,             0.99785,              0.5463,              1.1496,             0.99401,                   1,               0.995,             0.81562,                   0,                   0,                   0,            0.003466,            0.003466,            0.003466
                  68,              1.0074,             0.54511,              1.1462,             0.99354,                   1,               0.995,             0.82513,                   0,                   0,                   0,            0.003367,            0.003367,            0.003367
                  69,             0.98164,             0.52629,              1.1386,             0.99447,                   1,               0.995,             0.82969,                   0,                   0,                   0,            0.003268,            0.003268,            0.003268
                  70,             0.98589,             0.53017,               1.147,             0.99679,                   1,               0.995,             0.82731,                   0,                   0,                   0,            0.003169,            0.003169,            0.003169
                  71,              0.9967,             0.51936,              1.1384,             0.99502,                   1,               0.995,             0.82517,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                  72,             0.98104,             0.52608,              1.1422,             0.99383,                   1,               0.995,             0.82335,                   0,                   0,                   0,            0.002971,            0.002971,            0.002971
                  73,             0.98709,             0.51688,              1.1518,             0.99494,                   1,               0.995,             0.82003,                   0,                   0,                   0,            0.002872,            0.002872,            0.002872
                  74,              0.9873,             0.52967,              1.1497,             0.99575,                   1,               0.995,             0.82497,                   0,                   0,                   0,            0.002773,            0.002773,            0.002773
                  75,             0.98642,               0.515,              1.1443,             0.99447,                   1,               0.995,             0.82188,                   0,                   0,                   0,            0.002674,            0.002674,            0.002674
                  76,              0.9669,             0.51093,              1.1489,             0.99473,                   1,               0.995,             0.82048,                   0,                   0,                   0,            0.002575,            0.002575,            0.002575
                  77,             0.97493,             0.51314,              1.1473,             0.99382,                   1,               0.995,             0.82348,                   0,                   0,                   0,            0.002476,            0.002476,            0.002476
                  78,             0.96617,             0.51942,              1.1466,             0.99617,                   1,               0.995,             0.83395,                   0,                   0,                   0,            0.002377,            0.002377,            0.002377
                  79,             0.96607,             0.51407,               1.151,             0.99572,                   1,               0.995,             0.83371,                   0,                   0,                   0,            0.002278,            0.002278,            0.002278
                  80,             0.94725,             0.49435,              1.1337,             0.99657,                   1,               0.995,             0.82674,                   0,                   0,                   0,            0.002179,            0.002179,            0.002179
                  81,              0.9649,             0.51117,               1.143,             0.99666,                   1,               0.995,             0.83425,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                  82,              0.9603,             0.50589,              1.1326,             0.99582,                   1,               0.995,             0.83064,                   0,                   0,                   0,            0.001981,            0.001981,            0.001981
                  83,             0.95439,             0.50206,              1.1405,             0.99667,                   1,               0.995,             0.83617,                   0,                   0,                   0,            0.001882,            0.001882,            0.001882
                  84,             0.95748,             0.50068,              1.1382,             0.99472,                   1,               0.995,             0.83328,                   0,                   0,                   0,            0.001783,            0.001783,            0.001783
                  85,             0.96045,             0.50268,              1.1349,             0.99703,                   1,               0.995,             0.83462,                   0,                   0,                   0,            0.001684,            0.001684,            0.001684
                  86,             0.95089,             0.49926,              1.1384,               0.997,                   1,               0.995,             0.82799,                   0,                   0,                   0,            0.001585,            0.001585,            0.001585
                  87,             0.95614,             0.48886,              1.1357,             0.99491,                   1,               0.995,             0.83759,                   0,                   0,                   0,            0.001486,            0.001486,            0.001486
                  88,             0.94376,             0.49249,               1.138,              0.9963,                   1,               0.995,             0.83967,                   0,                   0,                   0,            0.001387,            0.001387,            0.001387
                  89,             0.92373,             0.47854,              1.1247,             0.99551,                   1,               0.995,               0.833,                   0,                   0,                   0,            0.001288,            0.001288,            0.001288
                  90,             0.94457,             0.48729,               1.141,               0.996,                   1,               0.995,             0.83518,                   0,                   0,                   0,            0.001189,            0.001189,            0.001189
                  91,             0.92959,             0.48117,              1.1315,             0.99592,                   1,               0.995,             0.83153,                   0,                   0,                   0,             0.00109,             0.00109,             0.00109
                  92,             0.92031,             0.47686,              1.1297,             0.99571,                   1,               0.995,             0.83335,                   0,                   0,                   0,            0.000991,            0.000991,            0.000991
                  93,             0.93369,             0.48237,              1.1312,              0.9951,                   1,               0.995,             0.83587,                   0,                   0,                   0,            0.000892,            0.000892,            0.000892
                  94,             0.92107,             0.47383,              1.1269,             0.99663,                   1,               0.995,             0.83996,                   0,                   0,                   0,            0.000793,            0.000793,            0.000793
                  95,             0.91761,             0.46956,               1.117,             0.99599,                   1,               0.995,             0.84274,                   0,                   0,                   0,            0.000694,            0.000694,            0.000694
