                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3577,                  4.265,                 1.2878,                 2.1429,                 5.2654,                 1.1425,                0.21541,                0.33339,                0.19079,                0.09566,                 1.8653,                 3.0979,                 1.1153,                 1.7396,                 4.4088,                 1.0693,               0.070125,              0.0033194,              0.0033194
                      2,                 2.1382,                  2.937,                 1.1736,                 2.0647,                 3.6812,                 1.1039,                 0.2794,                0.19149,                0.12782,                0.05254,                 2.4882,                 3.8921,                 1.3278,                 2.4932,                 4.7969,                 1.3431,               0.040059,              0.0065869,              0.0065869
                      3,                 2.2094,                  2.777,                 1.2039,                 2.1643,                 3.3546,                  1.138,                0.29231,                0.50629,                0.32617,                0.14085,                 1.9653,                 3.7342,                 1.1883,                 1.9003,                 4.1227,                 1.1432,              0.0099273,              0.0097884,              0.0097884
                      4,                 2.3005,                 2.8537,                 1.2379,                 2.3272,                 3.3786,                 1.1852,                0.30105,                0.45148,                0.34311,                0.11984,                 2.2189,                 2.5824,                 1.2697,                  2.221,                 3.1856,                  1.283,               0.009703,               0.009703,               0.009703
                      5,                 2.2179,                 2.4947,                 1.2062,                 2.2552,                  2.918,                 1.1638,                0.40452,                0.47597,                0.43378,                0.16325,                 2.0243,                 2.0881,                 1.1742,                   2.01,                 2.5938,                 1.1669,               0.009703,               0.009703,               0.009703
                      6,                  2.049,                 2.1435,                 1.1576,                 2.1558,                 2.5418,                 1.1407,                0.42239,                0.60928,                0.46258,                0.20009,                 1.8709,                 1.9091,                 1.1215,                 1.8861,                 2.2812,                 1.1069,               0.009604,               0.009604,               0.009604
                      7,                 2.0084,                 1.9637,                 1.1399,                 2.0967,                 2.3095,                 1.1118,                0.50406,                0.59083,                 0.5782,                0.26829,                 1.8564,                 1.6331,                 1.1131,                 1.9059,                 1.9103,                 1.1165,               0.009505,               0.009505,               0.009505
                      8,                 1.9167,                 1.8066,                 1.1221,                  2.013,                 2.1071,                 1.0959,                0.56217,                0.67738,                0.65996,                 0.3109,                 1.7477,                  1.413,                 1.0788,                 1.8056,                 1.5957,                  1.079,               0.009406,               0.009406,               0.009406
                      9,                 1.9183,                 1.7142,                 1.1107,                 2.0386,                 1.9891,                 1.0968,                0.57055,                0.67735,                 0.6649,                0.33417,                 1.6909,                 1.4186,                 1.0587,                 1.7072,                  1.525,                 1.0644,               0.009307,               0.009307,               0.009307
                     10,                 1.8582,                 1.6034,                 1.0983,                 1.9774,                 1.8529,                 1.0843,                0.52522,                0.67636,                0.64862,                0.32735,                 1.7144,                 1.3703,                 1.0731,                 1.7417,                 1.4029,                 1.0644,               0.009208,               0.009208,               0.009208
