epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.2677,2.34719,4.73493,1.27494,0.18039,0.36206,0.20609,0.0914,2.03758,3.36068,1.14558,0.070125,0.00331944,0.00331944
2,62.5267,2.07755,2.97352,1.13433,0.28656,0.22881,0.21729,0.10684,1.94832,3.38928,1.13212,0.0400591,0.00658692,0.00658692
3,93.0178,2.06315,2.62451,1.15331,0.26862,0.56395,0.33321,0.15724,1.91018,2.88584,1.12129,0.00992728,0.00978839,0.00978839
4,123.831,2.08262,2.46974,1.14361,0.38071,0.52205,0.40432,0.19258,1.93653,2.35751,1.14341,0.009703,0.009703,0.009703
5,156.865,2.01561,2.27006,1.1337,0.21021,0.54093,0.36515,0.16226,1.93098,2.8202,1.14562,0.009604,0.009604,0.009604
6,188.821,1.96022,2.03683,1.13006,0.5489,0.73743,0.68213,0.33285,1.78205,1.64032,1.08692,0.009505,0.009505,0.009505
7,222.063,1.91335,1.87046,1.1167,0.50404,0.63277,0.63582,0.32316,1.71645,1.84605,1.05256,0.009406,0.009406,0.009406
8,254.458,1.84565,1.72612,1.08819,0.67325,0.66173,0.69881,0.35468,1.73475,1.4865,1.05868,0.009307,0.009307,0.009307
9,286.878,1.8066,1.60876,1.07337,0.66307,0.72309,0.7879,0.40422,1.66198,1.39673,1.03974,0.009208,0.009208,0.009208
10,318.505,1.791,1.55705,1.07514,0.64044,0.82592,0.77106,0.41112,1.67031,1.28425,1.03573,0.009109,0.009109,0.009109
11,349.368,1.77011,1.46855,1.0645,0.65081,0.73577,0.75341,0.40456,1.60611,1.46874,1.01994,0.00901,0.00901,0.00901
12,379.779,1.74046,1.41189,1.05815,0.64455,0.78987,0.80872,0.44004,1.63122,1.3501,1.03227,0.008911,0.008911,0.008911
13,411.976,1.74614,1.36043,1.05565,0.7909,0.84507,0.90281,0.49205,1.57798,1.05738,1.01926,0.008812,0.008812,0.008812
14,442.597,1.66895,1.2855,1.03383,0.76353,0.7591,0.87515,0.45886,1.65935,1.1648,1.03632,0.008713,0.008713,0.008713
15,476.374,1.70921,1.32805,1.03431,0.80454,0.87455,0.90921,0.49678,1.57136,1.19966,1.00122,0.008614,0.008614,0.008614
16,508.662,1.69385,1.26013,1.05373,0.79902,0.77406,0.86829,0.46134,1.63908,1.06756,1.02688,0.008515,0.008515,0.008515
17,540.969,1.67835,1.22891,1.03964,0.82142,0.80861,0.88184,0.47133,1.57977,1.11384,1.02791,0.008416,0.008416,0.008416
18,572.94,1.67593,1.19647,1.03524,0.88927,0.90673,0.95607,0.54446,1.50978,0.92655,0.99112,0.008317,0.008317,0.008317
19,603.676,1.63484,1.18081,1.02801,0.91984,0.90922,0.95416,0.53493,1.5331,0.88751,0.99667,0.008218,0.008218,0.008218
20,639.141,1.6326,1.12224,1.02215,0.93823,0.89841,0.96298,0.55123,1.49306,0.84966,0.99062,0.008119,0.008119,0.008119
21,683.075,1.63149,1.09714,1.01734,0.84574,0.82152,0.90589,0.52197,1.50321,1.00296,0.98914,0.00802,0.00802,0.00802
22,726.99,1.59724,1.0685,1.00843,0.85612,0.86231,0.93114,0.52736,1.53411,0.92551,0.99839,0.007921,0.007921,0.007921
23,770.843,1.61771,1.11928,1.02585,0.87732,0.89809,0.95354,0.56441,1.43395,0.85594,0.9814,0.007822,0.007822,0.007822
24,814.662,1.60325,1.06778,1.00705,0.91948,0.92744,0.96277,0.54773,1.50483,0.84206,0.99438,0.007723,0.007723,0.007723
25,857.222,1.5797,1.04299,1.00737,0.91902,0.93505,0.96917,0.57386,1.45953,0.83418,0.97496,0.007624,0.007624,0.007624
26,899.662,1.55548,1.01292,1.00027,0.87884,0.94542,0.96675,0.5787,1.43602,0.78741,0.96752,0.007525,0.007525,0.007525
27,941.36,1.56159,1.02311,0.99995,0.9406,0.92129,0.96119,0.57829,1.41639,0.77801,0.96458,0.007426,0.007426,0.007426
28,983.157,1.56378,1.00421,0.99697,0.93039,0.95272,0.97573,0.56881,1.47301,0.77604,0.97326,0.007327,0.007327,0.007327
29,1026.98,1.54205,0.995,0.98821,0.90013,0.95576,0.97391,0.58149,1.44601,0.76757,0.96784,0.007228,0.007228,0.007228
