               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1157,           0.0087549,            0.051671,          8.7397e-06,           0.0053763,          4.5707e-06,          1.3712e-06,            0.090702,           0.0074502,            0.045268,            0.070125,           0.0033194,           0.0033194
                   1,            0.090195,            0.010249,            0.045128,           0.0035825,             0.71367,           0.0086952,           0.0022377,            0.072827,            0.008028,            0.043091,            0.040059,           0.0065869,           0.0065869
                   2,            0.078398,           0.0097446,            0.044693,           0.0037107,             0.77951,            0.046592,            0.011799,            0.069907,           0.0067497,            0.042752,           0.0099273,           0.0097884,           0.0097884
                   3,            0.069235,           0.0091244,            0.043554,             0.39426,             0.18047,            0.082462,            0.022313,            0.060589,           0.0059044,            0.039515,            0.009703,            0.009703,            0.009703
                   4,            0.061691,           0.0086684,            0.042188,             0.22472,             0.34851,             0.23467,             0.10016,            0.046959,           0.0060134,            0.038156,            0.009703,            0.009703,            0.009703
                   5,            0.055823,           0.0078962,            0.040289,             0.29702,             0.52096,             0.31875,             0.12426,            0.045079,           0.0049548,            0.036877,            0.009604,            0.009604,            0.009604
                   6,            0.054226,           0.0072974,            0.037975,             0.32871,             0.57764,             0.43195,             0.18014,            0.041544,           0.0044849,            0.034842,            0.009505,            0.009505,            0.009505
                   7,            0.050874,           0.0068749,            0.036748,             0.34262,             0.68291,             0.44349,             0.17247,            0.041319,           0.0045088,            0.033901,            0.009406,            0.009406,            0.009406
                   8,            0.049946,           0.0063223,            0.035427,             0.27134,               0.637,             0.40488,             0.17908,             0.04548,           0.0042259,            0.037167,            0.009307,            0.009307,            0.009307
                   9,            0.047816,           0.0064536,            0.035226,             0.39814,             0.79821,             0.52422,             0.26763,            0.036047,           0.0040927,             0.03213,            0.009208,            0.009208,            0.009208
                  10,            0.047181,           0.0060393,            0.033945,             0.35523,             0.65083,             0.49817,             0.22764,            0.036855,           0.0041177,            0.031682,            0.009109,            0.009109,            0.009109
                  11,             0.04628,           0.0060902,             0.03381,             0.39482,             0.75392,              0.5182,             0.22234,            0.037012,           0.0038297,            0.030825,             0.00901,             0.00901,             0.00901
                  12,            0.044236,           0.0059557,            0.032029,             0.41288,             0.73898,             0.54697,             0.28504,            0.035336,           0.0037707,            0.029374,            0.008911,            0.008911,            0.008911
                  13,            0.044005,           0.0058947,            0.031609,             0.39426,             0.76479,             0.53307,             0.24904,            0.034249,           0.0037293,            0.028705,            0.008812,            0.008812,            0.008812
                  14,              0.0433,           0.0059183,            0.032079,              0.4415,             0.85922,             0.62038,             0.31216,            0.030593,           0.0035785,            0.027296,            0.008713,            0.008713,            0.008713
                  15,            0.042505,           0.0058178,            0.030991,             0.49031,             0.84898,             0.65219,             0.33688,            0.032116,           0.0035059,            0.026503,            0.008614,            0.008614,            0.008614
                  16,            0.041949,           0.0057971,            0.030296,             0.43064,             0.81507,             0.59709,             0.28667,            0.033728,           0.0035011,            0.026767,            0.008515,            0.008515,            0.008515
