                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4009,                 4.5582,                  1.303,                 0.2231,                0.40853,                 0.2569,                0.10792,                 1.8648,                 2.7004,                  1.085,               0.070125,              0.0033194,              0.0033194
                      2,                 2.0134,                 2.7754,                 1.1233,                0.32217,                0.46858,                0.42097,                0.19572,                 1.8462,                 2.2088,                 1.0849,               0.040059,              0.0065869,              0.0065869
                      3,                  2.035,                 2.4962,                 1.1235,                0.33507,                0.65221,                0.45356,                0.21683,                 1.8861,                 2.0121,                 1.1161,              0.0099273,              0.0097884,              0.0097884
                      4,                 2.1186,                 2.4889,                 1.1527,                0.38323,                0.54571,                0.44785,                0.19626,                 1.9679,                 2.3281,                 1.1503,               0.009703,               0.009703,               0.009703
                      5,                 2.0664,                  2.257,                 1.1421,                0.45685,                0.52121,                0.54943,                0.24697,                 1.9737,                 2.0687,                 1.1293,               0.009604,               0.009604,               0.009604
                      6,                 1.9716,                 2.0141,                 1.1236,                0.58386,                0.66691,                0.64445,                0.31364,                 1.8251,                 1.5132,                 1.0941,               0.009505,               0.009505,               0.009505
                      7,                 1.9426,                 1.8054,                 1.1147,                0.64176,                0.70942,                0.75064,                 0.3813,                 1.6723,                 1.3678,                   1.05,               0.009406,               0.009406,               0.009406
                      8,                 1.8529,                 1.6799,                 1.1017,                0.60431,                0.70594,                0.74428,                0.37673,                 1.7262,                 1.3945,                 1.0804,               0.009307,               0.009307,               0.009307
                      9,                  1.871,                 1.5865,                 1.0965,                0.77096,                0.73786,                0.82585,                0.44026,                 1.6499,                  1.207,                 1.0382,               0.009208,               0.009208,               0.009208
                     10,                 1.7991,                 1.5113,                 1.0737,                0.77353,                0.79924,                0.88133,                 0.4458,                  1.643,                 1.1866,                 1.0393,               0.009109,               0.009109,               0.009109
                     11,                 1.7818,                  1.417,                 1.0673,                0.84196,                0.84305,                0.90219,                0.46726,                 1.6823,                 1.0863,                 1.0559,                0.00901,                0.00901,                0.00901
                     12,                 1.7679,                 1.3574,                 1.0654,                0.76742,                0.79981,                0.90418,                0.50363,                 1.5841,                 1.0786,                 1.0145,               0.008911,               0.008911,               0.008911
                     13,                 1.7303,                 1.2781,                 1.0536,                0.85882,                0.85022,                0.93567,                0.49417,                 1.6019,                 1.0303,                 1.0213,               0.008812,               0.008812,               0.008812
                     14,                 1.6831,                 1.2291,                 1.0462,                0.86234,                0.85039,                0.93447,                0.49587,                 1.5999,                0.97587,                  1.021,               0.008713,               0.008713,               0.008713
                     15,                 1.6856,                 1.1959,                 1.0363,                0.87265,                0.90468,                0.95195,                0.48508,                 1.6199,                0.92927,                 1.0198,               0.008614,               0.008614,               0.008614
                     16,                 1.6527,                 1.1507,                 1.0324,                0.91123,                0.84577,                0.95283,                0.54524,                 1.5382,                0.87266,                0.99736,               0.008515,               0.008515,               0.008515
                     17,                  1.665,                 1.1487,                 1.0335,                0.84155,                0.93138,                0.94785,                0.52628,                 1.5603,                0.87934,                 1.0018,               0.008416,               0.008416,               0.008416
                     18,                 1.6627,                 1.1352,                 1.0361,                0.88691,                0.89953,                0.94135,                0.53036,                 1.5105,                0.87308,                0.99547,               0.008317,               0.008317,               0.008317
                     19,                 1.6525,                 1.0828,                 1.0251,                0.89481,                0.90105,                0.96249,                0.52666,                 1.5524,                 0.8701,                 1.0008,               0.008218,               0.008218,               0.008218
                     20,                 1.6229,                 1.0579,                 1.0245,                0.92942,                0.90176,                0.97432,                0.57802,                 1.4541,                0.81326,                0.96969,               0.008119,               0.008119,               0.008119
                     21,                  1.613,                 1.0615,                 1.0129,                0.92749,                0.90202,                0.97271,                 0.5614,                 1.4664,                0.79646,                0.97642,                0.00802,                0.00802,                0.00802
                     22,                   1.59,                 1.0373,                 1.0224,                0.90813,                0.92068,                 0.9621,                0.55592,                  1.479,                0.79173,                 0.9713,               0.007921,               0.007921,               0.007921
                     23,                 1.5782,                 1.0053,                 1.0103,                0.94467,                0.93587,                0.97577,                0.56287,                 1.5105,                0.75401,                0.98217,               0.007822,               0.007822,               0.007822
                     24,                 1.5579,                0.97615,                 1.0068,                0.93314,                   0.94,                0.97176,                0.56291,                 1.4802,                0.76175,                0.97445,               0.007723,               0.007723,               0.007723
                     25,                 1.5528,                0.99464,                 1.0063,                 0.9451,                 0.9279,                0.97489,                0.56007,                 1.4627,                0.77926,                0.96927,               0.007624,               0.007624,               0.007624
                     26,                   1.53,                0.96032,                0.99367,                0.97501,                0.96885,                0.98434,                0.58984,                 1.4135,                0.73864,                0.96159,               0.007525,               0.007525,               0.007525
                     27,                 1.5618,                0.98879,                 0.9952,                0.97422,                0.94985,                0.98389,                0.60232,                 1.4075,                0.71175,                0.95173,               0.007426,               0.007426,               0.007426
                     28,                 1.5593,                0.96034,                0.99707,                0.95983,                0.94707,                0.98188,                0.59405,                 1.3779,                0.72169,                0.95269,               0.007327,               0.007327,               0.007327
                     29,                 1.5405,                0.93965,                0.98712,                0.94303,                0.94561,                0.97993,                0.59681,                 1.3792,                0.71931,                0.94812,               0.007228,               0.007228,               0.007228
                     30,                 1.5503,                0.91876,                 1.0006,                0.95607,                0.91801,                0.98186,                0.57609,                 1.4597,                0.73704,                0.96981,               0.007129,               0.007129,               0.007129
                     31,                 1.5119,                 0.9063,                0.98942,                0.95688,                0.95192,                0.98295,                0.58571,                  1.412,                0.73218,                0.95563,                0.00703,                0.00703,                0.00703
                     32,                 1.4954,                0.89336,                0.98172,                0.96108,                0.95714,                0.98597,                0.59179,                  1.424,                0.70027,                0.95533,               0.006931,               0.006931,               0.006931
                     33,                 1.4743,                0.88944,                0.98501,                0.97106,                 0.9539,                0.98722,                0.59467,                 1.4216,                0.68873,                0.95637,               0.006832,               0.006832,               0.006832
                     34,                 1.5247,                0.89547,                0.99852,                0.96579,                0.97864,                0.98522,                0.58883,                 1.4088,                0.68936,                0.95522,               0.006733,               0.006733,               0.006733
                     35,                  1.498,                0.90139,                0.98174,                0.96483,                0.97496,                0.98285,                0.59576,                 1.4123,                0.69842,                 0.9519,               0.006634,               0.006634,               0.006634
                     36,                 1.4669,                0.85699,                0.97637,                0.96593,                0.96808,                0.98866,                0.59721,                 1.3967,                0.66363,                0.95039,               0.006535,               0.006535,               0.006535
                     37,                 1.4887,                0.86868,                0.99001,                0.95723,                0.96054,                0.98612,                0.60526,                  1.373,                0.68247,                0.94027,               0.006436,               0.006436,               0.006436
                     38,                 1.4952,                 0.8669,                0.98908,                0.95877,                0.97383,                0.98433,                0.58275,                 1.4043,                0.70961,                0.95066,               0.006337,               0.006337,               0.006337
                     39,                 1.4567,                0.84563,                 0.9752,                0.95517,                0.97764,                0.99049,                0.60515,                 1.3745,                0.66524,                0.94756,               0.006238,               0.006238,               0.006238
                     40,                 1.4946,                0.86851,                0.98567,                0.97106,                0.98118,                0.99183,                0.61248,                 1.3647,                 0.6841,                0.94359,               0.006139,               0.006139,               0.006139
                     41,                 1.4562,                0.83631,                0.96433,                0.96951,                0.97707,                0.99173,                0.60668,                 1.3824,                0.65194,                0.94635,                0.00604,                0.00604,                0.00604
                     42,                 1.4687,                0.83816,                0.97449,                 0.9584,                0.98675,                 0.9925,                0.60572,                  1.386,                0.65477,                0.94234,               0.005941,               0.005941,               0.005941
                     43,                 1.4345,                0.81662,                0.96487,                0.94909,                0.98081,                0.98974,                0.59382,                 1.4209,                0.66037,                0.95475,               0.005842,               0.005842,               0.005842
                     44,                 1.4423,                0.84023,                0.96816,                0.96429,                 0.9614,                0.98678,                0.60788,                 1.3674,                0.64502,                0.94224,               0.005743,               0.005743,               0.005743
                     45,                  1.448,                0.80531,                0.96459,                0.97852,                0.95641,                0.99269,                 0.6177,                 1.3478,                0.64648,                0.93318,               0.005644,               0.005644,               0.005644
