               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              5.5059,              18.782,              3.4536,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.070125,           0.0033194,           0.0033194
                   1,              5.4828,              11.727,              3.2532,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.040059,           0.0065869,           0.0065869
                   2,              5.4955,              6.2744,              2.9515,           0.0012307,             0.21099,           0.0011668,          0.00036026,                   0,                   0,                   0,           0.0099273,           0.0097884,           0.0097884
                   3,               4.528,              5.4182,              2.3622,           0.0020422,             0.38911,           0.0021153,          0.00053381,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   4,               4.168,              4.8538,               2.133,             0.54303,            0.040683,            0.066375,             0.01859,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   5,              3.9263,              4.3605,              2.0234,            0.083984,            0.059877,            0.049571,            0.017706,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                   6,              3.6702,              3.9495,              1.8831,             0.19112,            0.073025,            0.052726,            0.014497,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                   7,              3.4884,              3.6198,              1.7902,             0.20185,             0.19814,              0.1413,            0.048891,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   8,              3.3461,              3.4651,              1.7401,             0.17609,             0.13903,             0.10396,            0.036478,                   0,                   0,                   0,            0.009307,            0.009307,            0.009307
                   9,              3.1764,              3.2659,              1.6948,             0.29512,              0.3439,             0.29382,             0.11315,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  10,              3.1452,              3.1925,              1.6652,             0.29086,             0.39931,             0.31719,             0.13769,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  11,              3.0705,              3.0482,              1.6354,             0.24342,             0.34004,             0.28221,             0.11808,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  12,              3.0546,              2.9653,              1.6198,             0.29265,             0.33534,              0.2483,             0.10023,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
                  13,              3.0203,              2.8915,              1.6141,             0.38457,             0.43081,             0.40278,             0.17795,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  14,              2.9447,              2.8367,              1.6066,             0.30074,               0.407,             0.32259,             0.13021,                   0,                   0,                   0,            0.008713,            0.008713,            0.008713
                  15,              2.9043,              2.7403,              1.5752,             0.35989,             0.51442,             0.42942,             0.18811,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  16,               2.802,              2.6527,              1.5323,             0.50665,             0.44162,             0.46811,             0.21445,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
